clusters	colors
TR34930_c3_g1_i4	7	#3300FFFF
TR29597_c9_g1_i1	6	#0019FFFF
TR42027_c3_g2_i4	3	#00FFFFFF
TR39783_c3_g1_i5	2	#00FFB3FF
TR37220_c5_g2_i3	6	#0019FFFF
TR29194_c2_g1_i1	8	#8000FFFF
TR40381_c2_g1_i3	2	#00FFB3FF
TR42939_c0_g2_i6	2	#00FFB3FF
TR37707_c0_g2_i10	2	#00FFB3FF
TR34018_c2_g2_i5	8	#8000FFFF
TR37735_c4_g2_i4	2	#00FFB3FF
TR37005_c2_g2_i1	2	#00FFB3FF
TR39808_c6_g1_i7	2	#00FFB3FF
TR36539_c0_g4_i1	2	#00FFB3FF
TR41203_c0_g1_i5	3	#00FFFFFF
TR39821_c3_g3_i2	6	#0019FFFF
TR36226_c0_g2_i6	2	#00FFB3FF
TR34018_c2_g3_i1	3	#00FFFFFF
TR42524_c2_g2_i2	2	#00FFB3FF
TR37552_c1_g1_i1	3	#00FFFFFF
TR41072_c0_g2_i1	8	#8000FFFF
TR38098_c0_g2_i3	10	#FF00E6FF
TR38399_c2_g2_i3	5	#0066FFFF
TR37230_c0_g3_i1	2	#00FFB3FF
TR24199_c1_g3_i2	6	#0019FFFF
TR12864_c0_g1_i1	7	#3300FFFF
TR36201_c4_g3_i11	6	#0019FFFF
TR40631_c2_g1_i3	7	#3300FFFF
TR43038_c0_g1_i6	2	#00FFB3FF
TR37511_c0_g1_i5	2	#00FFB3FF
TR42101_c0_g1_i7	2	#00FFB3FF
TR30962_c0_g1_i1	6	#0019FFFF
TR38874_c0_g1_i2	3	#00FFFFFF
TR33405_c2_g1_i8	7	#3300FFFF
TR39783_c3_g1_i2	2	#00FFB3FF
TR10414_c0_g1_i1	6	#0019FFFF
TR42248_c1_g1_i2	7	#3300FFFF
TR42535_c0_g1_i6	2	#00FFB3FF
TR3469_c0_g1_i1	7	#3300FFFF
TR40309_c4_g1_i5	9	#CC00FFFF
TR36983_c2_g1_i4	2	#00FFB3FF
TR32366_c2_g1_i8	11	#FF0099FF
TR30355_c2_g1_i1	9	#CC00FFFF
TR2108_c0_g3_i1	10	#FF00E6FF
TR42538_c1_g2_i3	9	#CC00FFFF
